"file","title_fr","title_en","title_de","genre","author","date","languages","topic","rights_holder","accessRights","collection"
"Brief24DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (fragement) (sans lieu, sans date)","Letter from Dorothea Tieck to Friedrich von Uechtritz (fragment) (without place, without date)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Fragment) (ohne Ort, ohne Datum)","correspondance","Dorothea Tieck","null","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k29"
"Brief25DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 1 novembre 1836)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 1 November 1836)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 1. November 1836)","correspondance","Dorothea Tieck","1836-11-01","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k30"
"Brief26DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 27 décembre 1836)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 27 December 1836)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 27. Dezember 1836)","correspondance","Dorothea Tieck","1836-12-27","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k31"
"Brief27DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 6 mars 1837)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 6 March 1837)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 6. März 1837)","correspondance","Dorothea Tieck","1837-03-06","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k32"
"Brief28DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 6 avril 1837)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 6 April 1837)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 6. April 1837)","correspondance","Dorothea Tieck","1837-04-06","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k33"
"Brief29DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 10 novembre 1837)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 10 November 1837)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 10. November 1837)","correspondance","Dorothea Tieck","1837-11-10","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k34"
"Brief30DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 25 septembre 1837)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 25 September 1837)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 25. September 1837)","correspondance","Dorothea Tieck","1837-09-25","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k35"
"Brief31DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 7 janvier 1839)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 7 January 1839)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 7. Januar 1839)","correspondance","Dorothea Tieck","1839-01-07","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k36"
"Brief32DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 24 septembre 1839)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 24 September 1839)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 24. September 1839)","correspondance","Dorothea Tieck","1839-09-24","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k37"
"Brief33DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 28 décembre 1840)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 28 December 1840)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 28. Dezember 1840)","correspondance","Dorothea Tieck","1840-12-28","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k38"
