"file","title_fr","title_en","title_de","genre","author","date","languages","topic","rights_holder","accessRights","collection"
"Brief22TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, 3 février 1830)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 3 February 1830)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 3. Februar 1830)","correspondance","Ludwig Tieck","1830-02-03","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"Brief23TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, 5 juin 1830)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 5 June 1830)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 5. Juni 1830)","correspondance","Ludwig Tieck","1830-06-05","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"Brief24TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, 23 juin ou janvier 1832)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 23 June or January 1832)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 23. Juni oder Januar 1832)","correspondance","Ludwig Tieck","1832-06-23","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"Brief25TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, 7 ou 27 juillet 1832)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 7 or 27 July 1832)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 7. oder 27. Juli 1832)","correspondance","Ludwig Tieck","1832-07-07","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"Brief26TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, 7 ou 5 août 1832)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 7 or 5 August 1832)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 7. oder 5. August 1832)","correspondance","Ludwig Tieck","1832-08-05","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"Brief27TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, 4 janvier 1834)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 4 Jannuary 1834)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 4. Januar 1834)","correspondance","Ludwig Tieck","1834-01-04","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"LT-an-FvR_1834-02-28","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, 28 février 1834)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 28 February 1834)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 28. Februar 1834)","correspondance","Ludwig Tieck","1834-02-28","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"LT-an-FvR_1836-11-11","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, 11 novembre 1836)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 11 November 1836)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 11. November 1836)","correspondance","Ludwig Tieck","1836-11-11","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"LT-an-FvR_1837-07-27","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, 27 juillet 1837)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 27 July 1837)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 27. Juli 1837)","correspondance","Ludwig Tieck","1837-07-27","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"LT-an-FvR_1838-03-27","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, 27 mars 1838)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 27 March 1838)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 27. März 1838)","correspondance","Ludwig Tieck","1838-03-27","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"LT-an-FvR_1838-11-15","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, 15 novembre 1838)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 15 November 1838)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 15. November 1838)","correspondance","Ludwig Tieck","1838-11-15","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"LT-an-FvR_1839-11-09","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, 9 novembre 1839)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 9 November 1839)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 9. November 1839)","correspondance","Ludwig Tieck","1839-11-09","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"LT-an-FvR_1840-02-18f","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, 18 février au 2 mars 1840)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 18 February to 2 March 1840)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 18. Februar bis 2. März 1840)","correspondance","Ludwig Tieck","1840-02-18","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
